id,screen_name,name,location,description,created_at,friends,followers,statuses,favorites
235217558,SenCoryGardner,Cory Gardner ,Colorado,Proudly serving the state of Colorado in the United States Senate.  This is my official Senate Twitter account. Tweets from Cory are signed -cg.,Fri Jan 07 17:02:56 +0000 2011,646,9412,1767,6
234374703,Sen_JoeManchin,Senator Joe Manchin,,"I proudly serve the people of West Virginia. Please do not hesitate to contact me to share your commonsense ideas, concerns or if you need assistance.",Wed Jan 05 14:13:33 +0000 2011,624,27414,2482,60
233737858,SenRonJohnson,Senator Ron Johnson,"Oshkosh, WI",Tweets from Ron are signed -rj,Tue Jan 04 00:25:27 +0000 2011,106,26218,1335,3
229966028,SenRubioPress,Senator Rubio Press,"Washington, D.C.",The press office for Senator @MarcoRubio. For more information please visit his website: http://t.co/9eM6UaRgYS,Thu Dec 23 21:22:47 +0000 2010,96,16986,1849,1
229592356,KellyAyotte,Kelly Ayotte,,,Wed Dec 22 20:20:15 +0000 2010,1493,35678,5640,14
225921757,SenatorLankford,Sen. James Lankford,"Oklahoma and Washington, DC",Serving the State of Oklahoma in the United States Senate,Sun Dec 12 20:33:07 +0000 2010,482,12148,2418,1
224285242,SenBennetCO,Michael F. Bennet,Colorado,U.S. Senator for Colorado,Wed Dec 08 16:29:29 +0000 2010,84,20395,947,13
221162525,SenToomey,Senator Pat Toomey,,Official Twitter account for Pat Toomey. Husband. Father. U.S. Senator for Pennsylvania.,Mon Nov 29 22:32:09 +0000 2010,875,32965,2762,55
217543151,SenatorTimScott,Tim Scott,South Carolina,Official account of U.S. Senator Tim Scott. Honored to represent the great state of South Carolina. RTs and follows dont equal endorsements. #OpportunityAgenda,Fri Nov 19 20:34:30 +0000 2010,2786,82469,2661,223
216881337,SenRandPaul,Senator Rand Paul,,"I fight for the Constitution, individual liberty and the freedoms that make this country great.",Wed Nov 17 23:52:35 +0000 2010,357,540228,3260,202
216503958,SenDonnelly,Senator Joe Donnelly,,U.S. Senator Joe Donnelly's communications staff,Tue Nov 16 22:24:01 +0000 2010,283,14463,1929,3
212262370,SenDanCoats,Senator Dan Coats,,U.S. Senator serving Indiana,Fri Nov 05 15:56:49 +0000 2010,619,19294,2975,6
211588974,SenatorKirk,Mark Kirk,"Highland Park, Illinois",I serve the people of the state of Illinois in the United States Senate. Please do not hesitate to contact me if you have any questions or need assistance.,Wed Nov 03 17:51:13 +0000 2010,1852,32429,3844,0
202206694,SenJohnBarrasso,Sen. John Barrasso,,U.S. Senator for the great state of Wyoming and @Senate_RPC Chairman.,Wed Oct 13 14:49:08 +0000 2010,456,18534,2285,0
193794406,SenCapito,Shelley Moore Capito,,Proudly serving West Virginia in the United States Senate.,Wed Sep 22 18:06:14 +0000 2010,935,11430,1372,28
172858784,timkaine,Senator Tim Kaine,,U.S. Senator from the Commonwealth of Virginia,Fri Jul 30 20:00:32 +0000 2010,662,36242,4764,67
171968009,FrankenCommTeam,FrankenCommTeam,,"A twitter feed for bloggers and journalists. Press releases, news, and advisories from Senator Franken's press office. RT≠Endorsements.",Wed Jul 28 16:11:35 +0000 2010,425,492,436,0
171598736,SenBobCasey,Senator Bob Casey,,Official twitter profile for the press office of Senator Bob Casey.,Tue Jul 27 18:38:20 +0000 2010,412,22643,1793,46
150078976,ChrisMurphyCT,Chris Murphy,,"U.S. Senator, Connecticut",Mon May 31 01:22:43 +0000 2010,125,25379,5841,135
132278386,SenatorBarb,Barbara Mikulski,"Baltimore, MD/Washington DC",U.S. Senator for Maryland,Mon Apr 12 20:06:38 +0000 2010,35,33973,3661,10
117501995,CantwellPress,Sen. Maria Cantwell,"Washington, D.C.",Official Twitter account of the Office of U.S. Senator Maria Cantwell -- Tweets come from Cantwell staff,Thu Feb 25 19:21:52 +0000 2010,1,12606,1051,0
109287731,SenatorShaheen,Sen. Jeanne Shaheen,"Washington, DC",I am currently serving in the United States Senate and am proud to serve the people of New Hampshire. http://t.co/6CyyCKZ22b,Thu Jan 28 15:22:44 +0000 2010,5614,20880,3095,11
109071031,SenatorCardin,Senator Ben Cardin,"Maryland/Washington, DC",Updates from the Office of U.S. Senator Ben Cardin - #Maryland,Wed Jan 27 22:03:53 +0000 2010,263,27163,4321,203
92186819,maziehirono,Senator Mazie Hirono,Hawaii,U.S. Senator Mazie K. Hirono - Proudly Serving the People of Hawaii,Tue Nov 24 03:10:37 +0000 2009,1185,13313,3438,0
88784440,SenMikeLee,Mike Lee,Utah,I am a United States Senator from the great state of Utah. Please help me restore constitutional leadership to Washington!,Mon Nov 09 22:47:47 +0000 2009,2364,162024,3124,12
78403308,SenatorIsakson,Johnny Isakson,GA & DC,"Official Page of U.S. Senator Johnny Isakson (R-Ga.)

      (Committees: Finance, HELP, Veterans' Affairs and Vice Chairman of Ethics)",Tue Sep 29 20:09:30 +0000 2009,429,18446,997,72
76649729,SenAlexander,Sen. Lamar Alexander,,"Follow Sen. Alexander in TN, in DC, and in the news.",Wed Sep 23 13:58:50 +0000 2009,409,26266,1444,1
76456274,SenStabenow,Sen. Debbie Stabenow,"Washington, DC",Representing the people from the Great State of Michigan in the United States Senate,Tue Sep 22 21:30:16 +0000 2009,2300,19199,956,0
75364211,SenPatRoberts,Pat Roberts,"Kansas and Washington, DC",United States Senator from Kansas,Fri Sep 18 19:34:56 +0000 2009,697,15239,1276,13
73303753,SenBobCorker,Senator Bob Corker,Tennessee,Official news and updates from United States Senator Bob Corker (R-Tennessee) and his staff. Tweets from the senator are signed -BC.,Fri Sep 11 03:56:08 +0000 2009,447,35630,2044,1
72198806,SenGillibrand,Kirsten Gillibrand,NY,U.S. Senator from New York,Mon Sep 07 03:53:24 +0000 2009,419,130579,9179,54
60828944,SenatorTomUdall,Tom Udall,Santa Fe and Washington,Updates from U.S. Senator Tom Udall from New Mexico. Follow @TomUdallPress for press updates. Photo by #ShowcaseNM contest finalist Prakriti of N.M. Highlands.,Tue Jul 28 06:10:29 +0000 2009,5,18038,1832,1
57065141,McCaskillOffice,McCaskill Office,Missouri,Office of U.S. Senator Claire McCaskill. Staff updates on Claire's work for Missouri. Follow Claire herself @Clairecmc.,Wed Jul 15 16:40:06 +0000 2009,1434,6166,2994,1
55677432,BillCassidy,Bill Cassidy,"Baton Rouge, LA",Husband. Father. Doctor. Proud Louisianan. U.S. Senator.,Fri Jul 10 22:02:55 +0000 2009,1182,11795,2646,0
47975734,SenatorSessions,Sen. Jeff Sessions,"Mobile, AL",U.S. Sen. Jeff Sessions (R-AL) serves as the Ranking Member on the Senate Budget Committee. He is in his 3rd term in the Senate.,Wed Jun 17 14:24:08 +0000 2009,102,37350,1643,0
43910797,SenSherrodBrown,Sherrod Brown,Ohio/Washington D.C.,Office of United States Senator Sherrod Brown who is proud to serve Ohio.,Mon Jun 01 16:07:45 +0000 2009,44,44259,1521,0
33537967,amyklobuchar,Amy Klobuchar,,"U.S. Senator from Minnesota. Follows, Retweets, Replies ≠ endorsement",Mon Apr 20 14:59:36 +0000 2009,37903,45410,2338,22
29442313,SenSanders,Bernie Sanders,Vermont/DC,"Sen. Bernie Sanders is the longest serving independent in congressional history. Tweets ending in -B are from Bernie, and all others are from a staffer.",Tue Apr 07 13:02:35 +0000 2009,1688,265590,11309,1
29201047,SenJeffMerkley,Senator Jeff Merkley,Oregon,U.S. Senator from the State of Oregon,Mon Apr 06 13:38:39 +0000 2009,174,32065,1705,2
21406834,MarkeyMemo,Ed Markey,,"Official account for Senator Ed Markey. National leader on energy, environment, climate, telecomm. Voice for consumer protection. Born in Malden, Massachusetts",Fri Feb 20 15:49:29 +0000 2009,190,23081,4120,0
21269970,RoyBlunt,Senator Roy Blunt,Missouri,Official account of U.S. Senator Roy Blunt. Honored to represent the great state of Missouri.,Thu Feb 19 02:58:03 +0000 2009,6804,34193,4718,11
21157904,SenatorBurr,Richard Burr,"Winston-Salem, NC",U.S. Senator from North Carolina,Wed Feb 18 01:53:03 +0000 2009,3361,30137,1604,3
21111098,SenShelby,Richard Shelby,"Tuscaloosa, Alabama","The Press Office of                       Senator Richard Shelby (R-Ala.)
https://t.co/hUzSbtYLIJ",Tue Feb 17 17:53:43 +0000 2009,244,17195,336,26
20597460,SenBillNelson,Bill Nelson,"Florida/ Washington, D.C.",U.S. Sen. Bill Nelson is the senior senator from the state of Florida.,Wed Feb 11 15:44:25 +0000 2009,100,39206,522,2
20546536,InhofePress,Inhofe Press Office,"Washington, D.C.",Press Office of U.S. Senator Jim Inhofe (R-Okla.),Tue Feb 10 21:12:51 +0000 2009,1370,10860,5323,11
19726613,SenatorCollins,SenatorSusanCollins,Maine,"United States Senator from Maine. 

All tweets originate from the Press Office of Senator Susan Collins.",Thu Jan 29 18:56:59 +0000 2009,929,34243,1358,33
19394188,SenJohnMcCain,John McCain,"Phoenix, AZ / Washington, DC","U.S. Senator John McCain (R-AZ), Chairman of Senate Armed Services Committee",Fri Jan 23 13:42:31 +0000 2009,335,1943934,8065,2
19028248,DavidVitter,David Vitter,"Metairie, LA / D.C.","U.S. Senator for the State of Louisiana
http://t.co/DgvpczxKRJ
info@davidvitter.com",Thu Jan 15 16:49:46 +0000 2009,6181,29703,4822,10
18915145,senrobportman,Rob Portman,Ohio,United States Senator from the Buckeye State.,Mon Jan 12 20:56:42 +0000 2009,1616,43182,4026,4
18695134,SenatorMenendez,Sen. Robert Menendez,,Proudly serving the State of New Jersey in the United States Senate.,Tue Jan 06 21:01:12 +0000 2009,586,45831,3820,5
18632666,JerryMoran,Jerry Moran,Kansas,Proud to represent Kansas in the United States Senate,Mon Jan 05 14:25:22 +0000 2009,2977,17854,2924,152
18061669,lisamurkowski,Sen. Lisa Murkowski,"Alaska & Washington, D.C.",Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.,Thu Dec 11 21:55:19 +0000 2008,460,28370,2535,0
17494010,SenSchumer,Chuck Schumer,"New York, NY",Official account of Senator Chuck Schumer - New York’s Senator  Tweets from Chuck are signed “-cs” - RT≠endorsement,Wed Nov 19 20:10:20 +0000 2008,27109,100770,4497,62
16789970,SenatorReid,Senator Harry Reid,"Searchlight, NV","News from the office of Nevada Senator Harry Reid, the U.S. Senate Democratic Leader.(Español: @SenadorReid)",Wed Oct 15 19:42:08 +0000 2008,153,250638,3026,0
16056306,JeffFlake,Jeff Flake,"Mesa, AZ",Senator from Arizona,Sat Aug 30 17:00:58 +0000 2008,208,25238,1135,8
15808765,CoryBooker,Cory Booker,"Newark, NJ",U.S. Senator from New Jersey,Mon Aug 11 14:41:16 +0000 2008,82435,1523650,45944,80
15442036,SenatorBoxer,Sen. Barbara Boxer,"Washington, D.C.",U.S. Senator Barbara Boxer of California.,Tue Jul 15 16:02:13 +0000 2008,114,55568,1631,0
14845376,GrahamBlog,Lindsey Graham,"Washington, DC",Twitter feed for U.S. Senator Lindsey Graham of South Carolina.,Tue May 20 13:57:21 +0000 2008,2187,67961,3723,0
13218102,JohnCornyn,JohnCornyn,"Austin, Texas",It is an honor to represent Texas in the US Senate.,Thu Feb 07 19:52:55 +0000 2008,9577,64275,15343,32
11651202,SteveDaines,Steve Daines,"Bozeman, MT",Serving the people of Montana in the U.S. Senate.,Sun Dec 30 05:52:03 +0000 2007,528,4124,1088,5
10615232,ChuckGrassley,ChuckGrassley,Iowa,"U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. 
Also follow @GrassleyOffice for news releases.",Mon Nov 26 15:17:02 +0000 2007,14578,83553,3419,10
7429102,MarkWarner,Mark Warner,Virginia,Updates from the U.S. Senator from Virginia and Staff. Following/retweeting does not equal an endorsement.,Thu Jul 12 14:03:33 +0000 2007,10978,50959,3949,30
5558312,JohnBoozman,Senator John Boozman,Arkansas,Representing Arkansas in the U.S. Senate.  Contact Info: 202-224-4843,Fri Apr 27 16:05:52 +0000 2007,543,21874,1562,4
